,SiteName,app,date,device_id,fmt_opt,gps_alt,gps_fix,gps_lat,gps_lon,gps_num,s_0,s_1,s_2,s_3,s_d0,s_d1,s_d2,s_h0,s_t0,tick,time,timestamp,ver_app,ver_format
817,屏東縣縣立四維國小,AirBox,2018-12-07,74DA38F20A98,1,2.0,1.0,22.596,120.49,9.0,1076.0,100.0,1.0,0.0,16.0,16.0,12.0,68.0,30.25,1544212086.0,19:48:06,2018-12-07T19:48:06Z,1.0.7,3
818,74DA38F20C54,AirBox,2018-12-07,74DA38F20C54,1,2.0,1.0,22.821,120.305,9.0,103.0,100.0,1.0,0.0,24.0,26.0,14.0,76.0,21.62,1544211590.0,19:39:50,2018-12-07T19:39:50Z,1.0.7,3
819,苗栗縣西湖國小瑞湖分校,AirBox,2018-12-07,74DA38F20DAE,1,2.0,1.0,24.527,120.751,9.0,598.0,100.0,1.0,0.0,5.0,7.0,3.0,88.0,20.25,1544209502.0,19:05:02,2018-12-07T19:05:02Z,1.0.7,3
820,嘉義縣立灣潭國小,AirBox,2018-12-07,74DA38E2B694,1,2.0,1.0,23.427,120.556,9.0,130.0,100.0,1.0,0.0,15.0,16.0,10.0,98.0,23.75,1544210082.0,19:14:42,2018-12-07T19:14:42Z,0.35.2,3
821,74DA38E2B5EE,AirBox,2018-12-07,74DA38E2B5EE,1,2.0,1.0,22.666,120.322,9.0,541.0,100.0,1.0,0.0,12.0,13.0,8.0,54.0,31.12,1544212667.0,19:57:47,2018-12-07T19:57:47Z,0.35.2,3
822,74DA38AF4976,AirBox,2018-12-07,74DA38AF4976,1,2.0,1.0,23.127,120.294,9.0,663.0,100.0,1.0,0.0,9.0,9.0,7.0,77.0,25.37,1544210746.0,19:25:46,2018-12-07T19:25:46Z,0.35.2,3
823,苗栗縣縣立東河國小,AirBox,2018-12-07,74DA38F20A38,1,2.0,1.0,24.6,121.04,9.0,609.0,100.0,1.0,0.0,0.0,0.0,0.0,76.0,21.25,1544212448.0,19:54:08,2018-12-07T19:54:08Z,1.0.7,3
824,74DA38B05096,AirBox,2018-12-07,74DA38B05096,1,2.0,1.0,21.949,120.79,9.0,3818.0,100.0,1.0,0.0,0.0,1.0,0.0,90.0,27.0,1544211582.0,19:39:42,2018-12-07T19:39:42Z,0.35.2,3
825,74DA38AF4712,AirBox,2018-12-07,74DA38AF4712,1,2.0,1.0,25.025,121.524,9.0,4701.0,100.0,1.0,0.0,0.0,0.0,0.0,77.0,25.5,1544210782.0,19:26:22,2018-12-07T19:26:22Z,0.35.2,3
826,74DA38B05090,AirBox,2018-12-07,74DA38B05090,1,2.0,1.0,25.062,121.113,9.0,10348.0,100.0,1.0,0.0,12.0,14.0,10.0,61.0,27.12,1544212783.0,19:59:43,2018-12-07T19:59:43Z,0.35.2,3
